"('mid',)","('ordering',)","('pid',)","('category',)","('job',)"
tt0010600,8,nm0932559,writer,operetta
tt0010600,9,nm1413539,composer,
tt0010726,10,nm0778303,cinematographer,
tt0010726,1,nm0212234,actor,
tt0010726,2,nm0196820,actress,
tt0010726,3,nm0649916,actress,
tt0010726,4,nm0313308,actor,
tt0010726,5,nm0000485,director,
tt0010726,6,nm0690143,producer,producer
tt0010726,7,nm2563774,composer,
tt0010726,8,nm0005713,cinematographer,
tt0010726,9,nm0389155,cinematographer,
tt0010806,10,nm0786810,actress,
tt0010806,1,nm0001273,actress,
tt0010806,2,nm0366008,actor,
tt0010806,3,nm0383278,actor,
tt0010806,4,nm0640421,actress,
tt0010806,5,nm0000428,director,
tt0010806,6,nm0294026,writer,story
tt0010806,7,nm0005658,cinematographer,
tt0010806,8,nm0808571,editor,
tt0010806,9,nm0269493,actor,
tt0011000,10,nm0583207,actor,
tt0011000,1,nm0632898,actor,
tt0011000,2,nm0388713,actor,
tt0011000,3,nm0856745,actor,
tt0011000,4,nm0375250,actor,
tt0011000,5,nm0003433,director,
tt0011000,6,nm0406094,writer,scenario by
tt0011000,7,nm0179740,writer,from a novel by
tt0011000,8,nm0137458,composer,
tt0011000,9,nm0833316,actress,
tt0011130,10,nm0005818,cinematographer,
tt0011130,1,nm0000858,actor,
tt0011130,2,nm0543806,actress,
tt0011130,3,nm0403582,actor,
tt0011130,4,nm0485274,actor,
tt0011130,5,nm0731910,director,
tt0011130,6,nm0829044,writer,by
tt0011130,7,nm0073238,writer,scenario
tt0011130,8,nm0838370,writer,play
tt0011130,9,nm0928492,writer,novel The Picture of Dorian Gray
tt0011221,10,nm0994233,production_designer,
tt0011221,1,nm0027992,actress,
tt0011221,2,nm0903145,actor,
tt0011221,3,nm0343069,actor,
tt0011221,4,nm0667310,actor,
tt0011221,5,nm0927468,director,
tt0011221,6,nm0562346,writer,
tt0011221,7,nm0690143,producer,producer
tt0011221,8,nm0005736,cinematographer,
tt0011221,9,nm0995701,production_designer,
tt0011237,10,nm0006272,composer,
tt0011237,1,nm0917467,actor,
tt0011237,2,nm0826210,actor,
tt0011237,3,nm0222074,actor,
tt0011237,4,nm0758802,actress,
tt0011237,5,nm0091380,director,co-director
tt0011237,6,nm0301961,writer,
tt0011237,7,nm0203452,producer,producer
tt0011237,8,nm0485134,composer,
tt0011237,9,nm10670231,composer,
tt0011387,10,nm1266538,composer,
tt0011387,1,nm0000891,actor,
tt0011387,2,nm0066024,actress,
tt0011387,3,nm0741182,actor,
tt0011387,4,nm0355829,actress,
tt0011387,5,nm0113284,director,
tt0011387,6,nm0869665,director,
tt0011387,7,nm0178126,writer,novel
tt0011387,8,nm0227062,writer,scenario
tt0011387,9,nm0442996,composer,
tt0011439,10,nm0861665,cinematographer,
tt0011439,1,nm0001196,actor,
tt0011439,2,nm0209323,actress,
tt0011439,3,nm0001935,actor,
tt0011439,4,nm0537556,actor,
tt0011439,5,nm0629243,director,
tt0011439,6,nm0191547,writer,"based on the story by: ""The Curse of Capistrano"" published in ""All-Story Weekly"""
tt0011439,7,nm1491939,writer,scenario
tt0011439,8,nm0675356,composer,
tt0011439,9,nm0568915,cinematographer,
tt0011565,1,nm0165134,actor,
tt0011565,2,nm0668084,actress,
tt0011565,3,nm0556769,actor,
tt0011565,4,nm0151606,actor,
tt0011565,5,nm0941637,director,
tt0011565,6,nm0606563,writer,by
tt0011565,7,nm0448981,writer,scenario
tt0011565,8,nm0518844,writer,scenario
tt0011565,9,nm0795042,cinematographer,
tt0011607,10,nm0630927,actress,
tt0011607,1,nm0137320,actress,
tt0011607,2,nm0753885,actor,
tt0011607,3,nm0022011,actress,
tt0011607,4,nm0042014,actor,
tt0011607,5,nm0003433,director,
tt0011607,6,nm0418114,writer,after a story by
tt0011607,7,nm0774256,cinematographer,
tt0011607,8,nm0375838,actor,
tt0011607,9,nm11381419,actor,
tt0011652,10,nm0325444,producer,producer
tt0011652,1,nm0423424,actor,
tt0011652,2,nm0095371,actress,
tt0011652,3,nm0175067,actor,
tt0011652,4,nm0018393,actor,
tt0011652,5,nm0085133,director,
tt0011652,6,nm0810367,director,
tt0011652,7,nm0397167,writer,"original play ""The Henrietta"""
tt0011652,8,nm0544579,writer,"play ""The New Henrietta"""
tt0011652,9,nm0558923,writer,scenario
tt0011841,1,nm0001273,actress,
tt0011841,2,nm0001932,actor,
tt0011841,3,nm0484472,actress,
tt0011841,4,nm0792514,actor,
tt0011841,5,nm0000428,director,
tt0011841,6,nm0662461,writer,from the play by
tt0011841,7,nm0103755,writer,play
tt0011841,8,nm0342604,writer,elaborated by
tt0011841,9,nm0446189,writer,scenario by
tt0011865,1,nm0576762,actor,
tt0011865,2,nm0841797,actress,
tt0011865,3,nm0199841,actress,
tt0011865,4,nm0467185,actor,
tt0011865,5,nm0001124,director,
tt0011865,6,nm0697880,writer,scenario
tt0011865,7,nm0210352,writer,story
tt0011865,8,nm0184632,writer,scenario
tt0011865,9,nm0005931,cinematographer,
tt0011870,10,nm0823284,actor,
tt0011870,1,nm0695792,actress,
tt0011870,2,nm0166224,actress,
tt0011870,3,nm0749281,actor,
tt0011870,4,nm0155477,actor,
tt0011870,5,nm0584778,director,
tt0011870,6,nm0810349,actor,
tt0011870,7,nm0524096,actor,
tt0011870,8,nm0480448,actress,
tt0011870,9,nm0263395,actress,
tt0011904,10,nm0369058,actor,
tt0011904,1,nm0151606,actor,
tt0011904,2,nm0431433,actress,
tt0011904,3,nm0101071,actor,
tt0011904,4,nm0456645,actor,
tt0011904,5,nm0941637,director,
tt0011904,6,nm0606563,writer,by
tt0011904,7,nm0927851,writer,scenario
tt0011904,8,nm0534540,composer,
tt0011904,9,nm0795042,cinematographer,
tt0011909,10,nm0005931,cinematographer,
tt0011909,1,nm0717468,actor,
tt0011909,2,nm0841797,actress,
tt0011909,3,nm0370351,actress,
tt0011909,4,nm0731623,actor,
tt0011909,5,nm0001124,director,
tt0011909,6,nm0774217,writer,suggested by play of the same name
tt0011909,7,nm0534221,writer,by
tt0011909,8,nm0003668,composer,
tt0011909,9,nm0835365,cinematographer,
tt0011960,10,nm0577914,actress,
tt0011960,1,nm0624470,actress,
tt0011960,2,nm0418131,actor,
tt0011960,3,nm0373928,actor,
tt0011960,4,nm0225905,actor,
tt0011960,5,nm0523932,director,
tt0011960,6,nm0473134,writer,
tt0011960,7,nm5055091,composer,
tt0011960,8,nm0005882,cinematographer,
tt0011960,9,nm0858164,actor,
tt0012190,10,nm0002301,composer,
tt0012190,1,nm0884388,actor,
tt0012190,2,nm0855935,actress,
tt0012190,3,nm0134251,actor,
tt0012190,4,nm0842522,actor,
tt0012190,5,nm0002271,director,
tt0012190,6,nm0087658,writer,"novel ""Los cuatro jinetes del Apocalipsis"""
tt0012190,7,nm0558923,writer,written for the screen by
tt0012190,8,nm0002206,producer,producer
tt0012190,9,nm0318647,producer,producer
tt0012349,10,nm0088471,actor,
tt0012349,1,nm0000122,actor,
tt0012349,2,nm0701012,actress,
tt0012349,3,nm0001067,actor,
tt0012349,4,nm0588033,actor,
tt0012349,5,nm0042317,actor,
tt0012349,6,nm0047800,actress,
tt0012349,7,nm0048798,actress,
tt0012349,8,nm0074788,actor,
tt0012349,9,nm0080930,actor,
tt0012364,10,nm0043509,actor,
tt0012364,1,nm0803705,actor,
tt0012364,2,nm0096737,actress,
tt0012364,3,nm0841061,actor,
