"('mid',)","('pid',)","('name',)"
tt0011870,nm0155477,Larry Prichard - Alma's Stepbrother
tt0011870,nm0810349,Philip Gentry - A Detective
tt0011870,nm0524096,Dr. V. Vivian
tt0011870,nm0480448,Mrs. Geraldine Stratton
tt0011870,nm0263395,Mrs. Elena Warwick
tt0011904,nm0369058,The Menace
tt0011904,nm0151606,Farallone
tt0011904,nm0431433,Lilith
tt0011904,nm0101071,Forrest
tt0011904,nm0456645,Morgridge
tt0011909,nm0717468,Anatol Spencer
tt0011909,nm0841797,Vivian Spencer - Anatol's Wife
tt0011909,nm0370351,Emilie Dixon
tt0011909,nm0731623,Gordon Bronson
tt0011960,nm0577914,Lilli
tt0011960,nm0624470,Rischka
tt0011960,nm0418131,Kommandant der Festung Tossenstein
tt0011960,nm0373928,Leutnant Alexis
tt0011960,nm0225905,Claudius
tt0011960,nm0858164,Pepo
tt0012190,nm0884388,Julio Desnoyers
tt0012190,nm0855935,Marguerite Laurier
tt0012190,nm0134251,Julio Madariaga
tt0012190,nm0842522,Marcelo Desnoyers
tt0012349,nm0088471,His Assistant
tt0012349,nm0000122,A Tramp
tt0012349,nm0701012,The Woman
tt0012349,nm0001067,The Child
tt0012349,nm0588033,The Man
tt0012349,nm0042317,Car Thief
tt0012349,nm0042317,Man in Shelter
tt0012349,nm0047800,Bride
tt0012349,nm0048798,Slum Nurse
tt0012349,nm0074788,Professor Guido
tt0012349,nm0074788,Night Shelter Keeper
tt0012349,nm0080930,Orphan Asylum Driver
tt0012364,nm0043509,David's Brother
tt0012364,nm0803705,David Holm
tt0012364,nm0096737,Mrs. Holm
tt0012364,nm0841061,Georges
tt0012364,nm0391474,Edit
tt0012364,nm0782943,Edit's Mother
tt0012364,nm0526479,Maria
tt0012364,nm0917912,Gustafsson
tt0012494,nm0324553,Death
tt0012494,nm0324553,Der Tod
tt0012494,nm0324553,El Mot
tt0012494,nm0196820,Young Woman
tt0012494,nm0196820,Das junge Mädchen
tt0012494,nm0196820,Zobeide
tt0012494,nm0418079,Young Man
tt0012494,nm0418079,Der junge Mann
tt0012494,nm0418079,Franke
tt0012494,nm0827905,Mayor
tt0012494,nm0827905,Bürgermeister
tt0012532,nm0001273,Henriette Girard
tt0012532,nm0321088,Louise Girard
tt0012532,nm0771584,Chevalier de Vaudrey
tt0012532,nm0521310,Count de Linieres
